Endpoint,Method,Returns,HTTP,Path,Title,Link
comments,create,CommentEntity,post,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/comments,Posting Comments,https://odkcentral.docs.apiary.io/reference/submissions/comments/posting-comments
comments,read,List[CommentEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/comments,Listing Comments,https://odkcentral.docs.apiary.io/reference/submissions/comments/listing-comments
forms,create,FormEntity,post,/v1/projects/projectId/forms ,Creating a new Form,https://odkcentral.docs.apiary.io/reference/forms/forms/creating-a-new-form
forms,delete,FormEntity,delete,/v1/projects/projectId/forms/xmlFormId ,Deleting a Form,https://odkcentral.docs.apiary.io/reference/forms/individual-form/deleting-a-form
forms,read,FormEntity,get,/v1/projects/projectId/forms/xmlFormId ,Getting Form Details,https://odkcentral.docs.apiary.io/reference/forms/individual-form/getting-form-details
forms,read_all,List[FormEntity],get,/v1/projects/projectId/forms ,List all Forms,https://odkcentral.docs.apiary.io/reference/forms/forms/list-all-forms
forms,read_fields,List[FieldEntity],get,/v1/projects/projectId/forms/xmlFormId/fields ,Getting Form Schema Fields,https://odkcentral.docs.apiary.io/reference/forms/individual-form/getting-form-schema-fields
forms,read_odata_metadata,str,get,/v1/projects/projectId/forms/xmlFormId.svc/$metadata ,Metadata Document,https://odkcentral.docs.apiary.io/reference/odata-endpoints/odata-form-service/metadata-document
forms,read_odata_service,ODataServiceEntity,get,/v1/projects/projectId/forms/xmlFormId.svc ,Service Document,https://odkcentral.docs.apiary.io/reference/odata-endpoints/odata-form-service/service-document
forms,read_xlsform,bytes,get,/v1/projects/projectId/forms/xmlFormId.xlsx ,Retrieving Form XLS(X),https://odkcentral.docs.apiary.io/reference/forms/individual-form/retrieving-form-xls(x)
forms,read_xml,str,get,/v1/projects/projectId/forms/xmlFormId.xml ,Retrieving Form XML,https://odkcentral.docs.apiary.io/reference/forms/individual-form/retrieving-form-xml
forms,update,FormEntity,patch,/v1/projects/projectId/forms/xmlFormId ,Modifying a Form,https://odkcentral.docs.apiary.io/reference/forms/individual-form/modifying-a-form
forms,update,FormEntity,post,/v1/projects/projectId/forms/id/restore ,Restoring a Form,https://odkcentral.docs.apiary.io/reference/forms/individual-form/restoring-a-form
forms.attachments,read,bytes,get,/v1/projects/projectId/forms/xmlFormId/attachments/filename ,Downloading a Form Attachment,https://odkcentral.docs.apiary.io/reference/forms/individual-form/downloading-a-form-attachment
forms.attachments,read_all,List[AttachmentEntity],get,/v1/projects/projectId/forms/xmlFormId/attachments ,Listing Form Attachments,https://odkcentral.docs.apiary.io/reference/forms/individual-form/listing-form-attachments
forms.drafts,create,FormEntity,post,/v1/projects/projectId/forms/xmlFormId/draft,Creating a Draft Form,https://odkcentral.docs.apiary.io/reference/forms/draft-form/creating-a-draft-form
forms.drafts,create,FormEntity,post,/v1/projects/projectId/forms/xmlFormId/draft/publish,Publishing a Draft Form,https://odkcentral.docs.apiary.io/reference/forms/draft-form/publishing-a-draft-form
forms.drafts,delete,FormEntity,delete,/v1/projects/projectId/forms/xmlFormId/draft,Deleting a Draft Form,https://odkcentral.docs.apiary.io/reference/forms/draft-form/deleting-a-draft-form
forms.drafts,read,FormEntity,get,/v1/projects/projectId/forms/xmlFormId/draft,Getting Draft Form Details,https://odkcentral.docs.apiary.io/reference/forms/draft-form/getting-draft-form-details
forms.drafts,read_fields,List[FieldEntity],get,/v1/projects/projectId/forms/xmlFormId/draft/fields,Getting Draft Form Schema Fields,https://odkcentral.docs.apiary.io/reference/forms/draft-form/getting-draft-form-schema-fields
forms.drafts,read_xlsform,bytes,get,/v1/projects/projectId/forms/xmlFormId/draft.xlsx ,Retrieving Draft Form XLS(X),https://odkcentral.docs.apiary.io/reference/forms/draft-form/retrieving-draft-form-xls(x)
forms.drafts,read_xml,str,get,/v1/projects/projectId/forms/xmlFormId/draft.xml,Retrieving Draft Form XML,https://odkcentral.docs.apiary.io/reference/forms/draft-form/retrieving-draft-form-xml
forms.drafts.attachments,create,AttachmentEntity,post,/v1/projects/projectId/forms/xmlFormId/draft/attachments/filename,Uploading a Draft Form Attachment,https://odkcentral.docs.apiary.io/reference/forms/draft-form/uploading-a-draft-form-attachment
forms.drafts.attachments,delete,AttachmentEntity,delete,/v1/projects/projectId/forms/xmlFormId/draft/attachments/filename,Clearing a Draft Form Attachment,https://odkcentral.docs.apiary.io/reference/forms/draft-form/clearing-a-draft-form-attachment
forms.drafts.attachments,read,bytes,get,/v1/projects/projectId/forms/xmlFormId/draft/attachments/filename,Downloading a Draft Form Attachment,https://odkcentral.docs.apiary.io/reference/forms/draft-form/downloading-a-draft-form-attachment
forms.drafts.attachments,read_all,List[AttachmentEntity],get,/v1/projects/projectId/forms/xmlFormId/draft/attachments,Listing expected Draft Form Attachments,https://odkcentral.docs.apiary.io/reference/forms/draft-form/listing-expected-draft-form-attachments
forms.versions,read,FormEntity,get,/v1/projects/projectId/forms/xmlFormId/versions/version ,Getting Form Version Details,https://odkcentral.docs.apiary.io/reference/forms/published-form-versions/getting-form-version-details
forms.versions,read_all,List[FormEntity],get,/v1/projects/projectId/forms/xmlFormId/versions,Listing Published Form Versions,https://odkcentral.docs.apiary.io/reference/forms/published-form-versions/listing-published-form-versions
forms.versions,read_fields,List[FieldEntity],get,/v1/projects/projectId/forms/xmlFormId/versions/version/fields,Getting Form Version Schema Fields,https://odkcentral.docs.apiary.io/reference/forms/published-form-versions/getting-form-version-schema-fields
forms.versions,read_xlsform,bytes,get,/v1/projects/projectId/forms/xmlFormId/versions/version.xlsx,Retrieving Form Version XLS(X),https://odkcentral.docs.apiary.io/reference/forms/published-form-versions/retrieving-form-version-xls(x)
forms.versions,read_xml,str,get,/v1/projects/projectId/forms/xmlFormId/versions/version.xml,Retrieving Form Version XML,https://odkcentral.docs.apiary.io/reference/forms/published-form-versions/retrieving-form-version-xml
forms.versions.attachments,read,bytes,get,/v1/projects/projectId/forms/xmlFormId/versions/version/attachments/filename,Downloading a Form Version Attachment,https://odkcentral.docs.apiary.io/reference/forms/published-form-versions/downloading-a-form-version-attachment
forms.versions.attachments,read_all,List[AttachmentEntity],get,/v1/projects/projectId/forms/xmlFormId/versions/version/attachments,Listing Form Version Attachments,https://odkcentral.docs.apiary.io/reference/forms/published-form-versions/listing-form-version-attachments
submissions,create,SubmissionEntity,post,/v1/projects/projectId/forms/xmlFormId/submissions,Creating a Submission,https://odkcentral.docs.apiary.io/reference/submissions/submissions/creating-a-submission
submissions,read,SubmissionEntity,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId,Getting Submission metadata,https://odkcentral.docs.apiary.io/reference/submissions/submissions/getting-submission-metadata
submissions,read_all,List[SubmissionEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions,Listing all Submissions on a Form,https://odkcentral.docs.apiary.io/reference/submissions/submissions/listing-all-submissions-on-a-form
submissions,read_all_csv,str,post,/v1/projects/projectId/forms/xmlFormId/submissions.csv,Exporting Form Submissions to CSV via POST,https://odkcentral.docs.apiary.io/reference/submissions/submissions/exporting-root-data-to-plain-csv-via-post
submissions,read_all_csv,str,get,/v1/projects/projectId/forms/xmlFormId/submissions.csv,Exporting Root Data to Plain CSV,https://odkcentral.docs.apiary.io/reference/submissions/submissions/exporting-root-data-to-plain-csv
submissions,read_all_table,ODataTableEntity,get,/v1/projects/projectId/forms/xmlFormId.svc/table ,Data Document,https://odkcentral.docs.apiary.io/reference/odata-endpoints/odata-form-service/data-document
submissions,read_all_zip,bytes,get,/v1/projects/projectId/forms/xmlFormId/submissions.csv.zip,Exporting Form Submissions to CSV,https://odkcentral.docs.apiary.io/reference/submissions/submissions/exporting-form-submissions-to-csv
submissions,read_all_zip,bytes,post,/v1/projects/projectId/forms/xmlFormId/submissions.csv.zip,Exporting Form Submissions to CSV via POST,https://odkcentral.docs.apiary.io/reference/submissions/submissions/exporting-form-submissions-to-csv-via-post
submissions,read_diff,SubmissionDiffEntity,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/diffs ,Getting changes between Versions,https://odkcentral.docs.apiary.io/reference/submissions/submission-versions/getting-changes-between-versions
submissions,read_enketo_edit_url,str,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/edit,Getting an Enketo Edit URL,https://odkcentral.docs.apiary.io/reference/submissions/submissions/getting-an-enketo-edit-url
submissions,read_xml,str,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId.xml,Retrieving Submission XML,https://odkcentral.docs.apiary.io/reference/submissions/submissions/retrieving-submission-xml
submissions,update,SubmissionEntity,put,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId,Updating Submission Data,https://odkcentral.docs.apiary.io/reference/submissions/submissions/updating-submission-data
submissions,update,SubmissionEntity,patch,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId,Updating Submission metadata,https://odkcentral.docs.apiary.io/reference/submissions/submissions/updating-submission-metadata
submissions.attachments,create,AttachmentEntity,post,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/attachments/filename ,Uploading an Attachment,https://odkcentral.docs.apiary.io/reference/submissions/attachments/uploading-an-attachment
submissions.attachments,delete,AttachmentEntity,delete,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/attachments/filename ,Clearing a Submission Attachment,https://odkcentral.docs.apiary.io/reference/submissions/attachments/clearing-a-submission-attachment
submissions.attachments,read,bytes,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/attachments/filename,Downloading an Attachment,https://odkcentral.docs.apiary.io/reference/submissions/attachments/downloading-an-attachment
submissions.attachments,read_all,List[AttachmentEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/attachments ,Listing expected Submission Attachments,https://odkcentral.docs.apiary.io/reference/submissions/attachments/listing-expected-submission-attachments
submissions.audits,read_all,List[AuditEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/audits,Retrieving Audit Logs,https://odkcentral.docs.apiary.io/reference/submissions/submissions/retrieving-audit-logs
submissions.drafts,create,SubmissionEntity,post,/v1/projects/projectId/forms/xmlFormId/draft/submissions ,Creating a Submission,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/creating-a-submission
submissions.drafts,read,SubmissionEntity,get,/v1/projects/projectId/forms/xmlFormId/draft/submissions/instanceId,Getting Submission details,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/getting-submission-details
submissions.drafts,read_all,List[SubmissionEntity],get,/v1/projects/projectId/forms/xmlFormId/draft/submissions ,Listing all Submissions on a Draft Form,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/listing-all-submissions-on-a-draft-form
submissions.drafts,read_all_zip,bytes,get,/v1/projects/projectId/forms/xmlFormId/draft/submissions.csv.zip ,Exporting Form Submissions to CSV,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/exporting-form-submissions-to-csv
submissions.drafts,read_all_zip,bytes,post,/v1/projects/projectId/forms/xmlFormId/draft/submissions.csv.zip ,Exporting Form Submissions to CSV via POST,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/exporting-form-submissions-to-csv-via-post
submissions.drafts,read_xml,str,get,/v1/projects/projectId/forms/xmlFormId/draft/submissions/instanceId.xml,Retrieving Submission XML,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/retrieving-submission-xml
submissions.drafts.attachments,create,AttachmentEntity,post,/v1/projects/projectId/forms/xmlFormId/draft/submissions/instanceId/attachments/filename ,Uploading an Attachment,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/uploading-an-attachment
submissions.drafts.attachments,delete,AttachmentEntity,delete,/v1/projects/projectId/forms/xmlFormId/draft/submissions/instanceId/attachments/filename ,Clearing a Submission Attachment,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/clearing-a-submission-attachment
submissions.drafts.attachments,read,bytes,get,/v1/projects/projectId/forms/xmlFormId/draft/submissions/instanceId/attachments/filename ,Downloading an Attachment,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/downloading-an-attachment
submissions.drafts.attachments,read_all,List[AttachmentEntity],get,/v1/projects/projectId/forms/xmlFormId/draft/submissions/instanceId/attachments ,Listing expected Submission Attachments,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/listing-expected-submission-attachments
submissions.drafts.keys,read,List[KeysEntity],get,/v1/projects/projectId/forms/xmlFormId/draft/submissions/keys ,Listing Encryption Keys,https://odkcentral.docs.apiary.io/reference/submissions/draft-submissions/listing-encryption-keys
submissions.keys,read_all,List[KeysEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions/keys,Listing Encryption Keys,https://odkcentral.docs.apiary.io/reference/submissions/submissions/listing-encryption-keys
submissions.submitters,read,List[SubmitterEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions/submitters,Listing Submitters,https://odkcentral.docs.apiary.io/reference/submissions/submissions/listing-submitters
submissions.versions,read,SubmissionEntity,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/versions/versionId,Getting Version Details,https://odkcentral.docs.apiary.io/reference/submissions/submission-versions/getting-version-details
submissions.versions,read_all,List[SubmissionEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/versions,Listing Versions,https://odkcentral.docs.apiary.io/reference/submissions/submission-versions/listing-versions
submissions.versions,read_xml,str,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/versions/versionId.xml,Getting Version XML,https://odkcentral.docs.apiary.io/reference/submissions/submission-versions/getting-version-xml
submissions.versions.attachments,read,bytes,get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/versions/versionId/attachments/filename,Downloading a Version's Attachment,https://odkcentral.docs.apiary.io/reference/submissions/submission-versions/downloading-a-version's-attachment
submissions.versions.attachments,read_all,List[AttachmentEntity],get,/v1/projects/projectId/forms/xmlFormId/submissions/instanceId/versions/versionId/attachments,Listing Version expected Attachments,https://odkcentral.docs.apiary.io/reference/submissions/submission-versions/listing-version-expected-attachments
